,dataset,fold,ta_name,metric_error,metric_error_val,time_train_s,time_infer_s,method_subtype,n_samples_train_per_fold,n_features
113,coil2000_insurance_policies,1,PrepTabM,0.2430534389287231,0.2531904924301743,52257.04145908356,112.49655437469482,tuned_ensemble,6548,85
114,coil2000_insurance_policies,0,PrepTabM,0.2684521281468341,0.2900316816531783,840.3162987232208,16.033548831939697,default,6548,85
115,coil2000_insurance_policies,0,PrepTabM,0.2723070260907221,0.2534426330290892,55525.17767214775,19.92077231407165,tuned,6548,85
116,coil2000_insurance_policies,0,PrepTabM,0.267564394034027,0.2408626033122219,55525.17767214775,235.55570483207703,tuned_ensemble,6548,85
117,Bioresponse,2,PrepTabM,0.1219289559997524,0.1599657353376872,936.7786540985109,16.120272636413574,default,2501,1776
118,Bioresponse,2,PrepTabM,0.1300023722590094,0.1445350439901586,47586.41817045212,13.788678169250488,tuned,2501,1776
119,Bioresponse,2,PrepTabM,0.1227179899746271,0.1328998724736252,47586.41817045212,151.43432474136353,tuned_ensemble,2501,1776
120,Bioresponse,1,PrepTabM,0.1433901644078635,0.1404480813077251,836.415176153183,16.20013999938965,default,2501,1776
121,Bioresponse,1,PrepTabM,0.1415181426243372,0.1310716723989128,49434.29808974266,11.352185010910034,tuned,2501,1776
122,Bioresponse,1,PrepTabM,0.1382098727231471,0.1206335098092257,49434.29808974266,135.3219118118286,tuned_ensemble,2501,1776
123,Bioresponse,0,PrepTabM,0.1198911694903911,0.1506010582338015,937.3315508365632,15.66289734840393,default,2501,1776
124,Bioresponse,0,PrepTabM,0.1213583736170957,0.1411700394001278,55080.66799855232,10.8606059551239,tuned,2501,1776
125,Bioresponse,0,PrepTabM,0.1143634135919731,0.1316516724426016,55080.66799855232,187.8860056400299,tuned_ensemble,2501,1776
126,Amazon_employee_access,2,PrepTabM,0.1093955388519659,0.1237836166910008,164.67296648025513,7.057050466537476,default,21846,9
127,Amazon_employee_access,2,PrepTabM,0.1103997500602588,0.1215494228704201,12838.404100179672,10.412008047103882,tuned,21846,9
128,Amazon_employee_access,2,PrepTabM,0.1096777189774578,0.1205662069228489,12838.404100179672,67.9962511062622,tuned_ensemble,21846,9
129,Amazon_employee_access,1,PrepTabM,0.1035245403074334,0.1255739541036448,166.9663941860199,7.090511083602905,default,21846,9
130,Amazon_employee_access,1,PrepTabM,0.1034195265864605,0.1239706294976774,13472.814898014069,6.904988527297974,tuned,21846,9
131,Amazon_employee_access,1,PrepTabM,0.1034011530291307,0.1210724116587058,13472.814898014069,64.03262448310852,tuned_ensemble,21846,9
